source,target
The boy froze the donut on a table .,"* boy ( x _ 1 ) ; * donut ( x _ 4 ) ; freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND donut . nmod . on ( x _ 4 , x _ 7 ) AND table ( x _ 7 )"
A rose was offered to a pig by a judge .,"rose ( x _ 1 ) AND offer . theme ( x _ 3 , x _ 1 ) AND offer . recipient ( x _ 3 , x _ 6 ) AND offer . agent ( x _ 3 , x _ 9 ) AND pig ( x _ 6 ) AND judge ( x _ 9 )"
The girl fed the chicken the cake .,"* girl ( x _ 1 ) ; * chicken ( x _ 4 ) ; * cake ( x _ 6 ) ; feed . agent ( x _ 2 , x _ 1 ) AND feed . recipient ( x _ 2 , x _ 4 ) AND feed . theme ( x _ 2 , x _ 6 )"
Emma found a cookie in the car .,"* car ( x _ 6 ) ; find . agent ( x _ 1 , Emma ) AND find . theme ( x _ 1 , x _ 3 ) AND cookie ( x _ 3 ) AND cookie . nmod . in ( x _ 3 , x _ 6 )"
A girl gave a game on a stage to Anthony .,"girl ( x _ 1 ) AND give . agent ( x _ 2 , x _ 1 ) AND give . theme ( x _ 2 , x _ 4 ) AND give . recipient ( x _ 2 , Anthony ) AND game ( x _ 4 ) AND game . nmod . on ( x _ 4 , x _ 7 ) AND stage ( x _ 7 )"
Emma cooked the writer .,"* writer ( x _ 3 ) ; cook . agent ( x _ 1 , Emma ) AND cook . theme ( x _ 1 , x _ 3 )"
Olivia drew .,"draw . agent ( x _ 1 , Olivia )"
The dog liked that the bird drew .,"* dog ( x _ 1 ) ; * bird ( x _ 5 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 6 ) AND draw . agent ( x _ 6 , x _ 5 )"
A cat dusted a can on a table .,"cat ( x _ 1 ) AND dust . agent ( x _ 2 , x _ 1 ) AND dust . theme ( x _ 2 , x _ 4 ) AND can ( x _ 4 ) AND can . nmod . on ( x _ 4 , x _ 7 ) AND table ( x _ 7 )"
The girl loved a box in a room .,"* girl ( x _ 1 ) ; love . agent ( x _ 2 , x _ 1 ) AND love . theme ( x _ 2 , x _ 4 ) AND box ( x _ 4 ) AND box . nmod . in ( x _ 4 , x _ 7 ) AND room ( x _ 7 )"
A box was given to the girl by the dog .,"* girl ( x _ 6 ) ; * dog ( x _ 9 ) ; box ( x _ 1 ) AND give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , x _ 6 ) AND give . agent ( x _ 3 , x _ 9 )"
A box was liked by the coach .,"* coach ( x _ 6 ) ; box ( x _ 1 ) AND like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , x _ 6 )"
The giraffe noticed that a donut was eaten .,"* giraffe ( x _ 1 ) ; notice . agent ( x _ 2 , x _ 1 ) AND notice . ccomp ( x _ 2 , x _ 7 ) AND donut ( x _ 5 ) AND eat . theme ( x _ 7 , x _ 5 )"
A girl wished to sneeze .,"girl ( x _ 1 ) AND wish . agent ( x _ 2 , x _ 1 ) AND wish . xcomp ( x _ 2 , x _ 4 ) AND sneeze . agent ( x _ 4 , x _ 1 )"
Liam helped a cake beside a house on a bed .,"help . agent ( x _ 1 , Liam ) AND help . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod . beside ( x _ 3 , x _ 6 ) AND house ( x _ 6 ) AND house . nmod . on ( x _ 6 , x _ 9 ) AND bed ( x _ 9 )"
The clock was cooked by the child .,"* clock ( x _ 1 ) ; * child ( x _ 6 ) ; cook . theme ( x _ 3 , x _ 1 ) AND cook . agent ( x _ 3 , x _ 6 )"
The teacher believed that Ava was given a cake by Liam .,"* teacher ( x _ 1 ) ; believe . agent ( x _ 2 , x _ 1 ) AND believe . ccomp ( x _ 2 , x _ 6 ) AND give . recipient ( x _ 6 , Ava ) AND give . theme ( x _ 6 , x _ 8 ) AND give . agent ( x _ 6 , Liam ) AND cake ( x _ 8 )"
A girl liked the pancake beside a table beside the stage .,"* pancake ( x _ 4 ) ; * stage ( x _ 10 ) ; girl ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND pancake . nmod . beside ( x _ 4 , x _ 7 ) AND table ( x _ 7 ) AND table . nmod . beside ( x _ 7 , x _ 10 )"
A ball was loaned to Emma by a child .,"ball ( x _ 1 ) AND loan . theme ( x _ 3 , x _ 1 ) AND loan . recipient ( x _ 3 , Emma ) AND loan . agent ( x _ 3 , x _ 8 ) AND child ( x _ 8 )"
The girl declared that the cake was burned .,"* girl ( x _ 1 ) ; * cake ( x _ 5 ) ; declare . agent ( x _ 2 , x _ 1 ) AND declare . ccomp ( x _ 2 , x _ 7 ) AND burn . theme ( x _ 7 , x _ 5 )"
The drink was valued .,"* drink ( x _ 1 ) ; value . theme ( x _ 3 , x _ 1 )"
A chicken fed the cake to Emma .,"* cake ( x _ 4 ) ; chicken ( x _ 1 ) AND feed . agent ( x _ 2 , x _ 1 ) AND feed . theme ( x _ 2 , x _ 4 ) AND feed . recipient ( x _ 2 , Emma )"
The ball was rolled by the dog .,"* ball ( x _ 1 ) ; * dog ( x _ 6 ) ; roll . theme ( x _ 3 , x _ 1 ) AND roll . agent ( x _ 3 , x _ 6 )"
Emma cleaned a boy .,"clean . agent ( x _ 1 , Emma ) AND clean . theme ( x _ 1 , x _ 3 ) AND boy ( x _ 3 )"
The strawberry was eaten by the girl .,"* strawberry ( x _ 1 ) ; * girl ( x _ 6 ) ; eat . theme ( x _ 3 , x _ 1 ) AND eat . agent ( x _ 3 , x _ 6 )"
The bowl rolled .,"* bowl ( x _ 1 ) ; roll . theme ( x _ 2 , x _ 1 )"
Madison was loaned the donut on the chair by Emma .,"* donut ( x _ 4 ) ; * chair ( x _ 7 ) ; loan . recipient ( x _ 2 , Madison ) AND loan . theme ( x _ 2 , x _ 4 ) AND loan . agent ( x _ 2 , Emma ) AND donut . nmod . on ( x _ 4 , x _ 7 )"
The cake was helped by Isabella .,"* cake ( x _ 1 ) ; help . theme ( x _ 3 , x _ 1 ) AND help . agent ( x _ 3 , Isabella )"
Scarlett hoped that the baby cooked a girl .,"* baby ( x _ 4 ) ; hope . agent ( x _ 1 , Scarlett ) AND hope . ccomp ( x _ 1 , x _ 5 ) AND cook . agent ( x _ 5 , x _ 4 ) AND cook . theme ( x _ 5 , x _ 7 ) AND girl ( x _ 7 )"
Emma said that the balloon was missed .,"* balloon ( x _ 4 ) ; say . agent ( x _ 1 , Emma ) AND say . ccomp ( x _ 1 , x _ 6 ) AND miss . theme ( x _ 6 , x _ 4 )"
James ate the box .,"* box ( x _ 3 ) ; eat . agent ( x _ 1 , James ) AND eat . theme ( x _ 1 , x _ 3 )"
The cookie was passed to the girl .,"* cookie ( x _ 1 ) ; * girl ( x _ 6 ) ; pass . theme ( x _ 3 , x _ 1 ) AND pass . recipient ( x _ 3 , x _ 6 )"
The strawberry was adored .,"* strawberry ( x _ 1 ) ; adore . theme ( x _ 3 , x _ 1 )"
Liam was given a cake by Ava .,"give . recipient ( x _ 2 , Liam ) AND give . theme ( x _ 2 , x _ 4 ) AND give . agent ( x _ 2 , Ava ) AND cake ( x _ 4 )"
The hero sneezed .,"* hero ( x _ 1 ) ; sneeze . agent ( x _ 2 , x _ 1 )"
A cake was grown by Olivia .,"cake ( x _ 1 ) AND grow . theme ( x _ 3 , x _ 1 ) AND grow . agent ( x _ 3 , Olivia )"
The cake was given to Logan .,"* cake ( x _ 1 ) ; give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , Logan )"
Emma dusted Liam .,"dust . agent ( x _ 1 , Emma ) AND dust . theme ( x _ 1 , Liam )"
A boy was returned a donut .,"boy ( x _ 1 ) AND return . recipient ( x _ 3 , x _ 1 ) AND return . theme ( x _ 3 , x _ 5 ) AND donut ( x _ 5 )"
The cake was given to a writer by a prince .,"* cake ( x _ 1 ) ; give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , x _ 6 ) AND give . agent ( x _ 3 , x _ 9 ) AND writer ( x _ 6 ) AND prince ( x _ 9 )"
A strawberry was reddened .,"strawberry ( x _ 1 ) AND redden . theme ( x _ 3 , x _ 1 )"
A cat lended Emma a jigsaw on the canvas .,"* canvas ( x _ 8 ) ; cat ( x _ 1 ) AND lend . agent ( x _ 2 , x _ 1 ) AND lend . recipient ( x _ 2 , Emma ) AND lend . theme ( x _ 2 , x _ 5 ) AND jigsaw ( x _ 5 ) AND jigsaw . nmod . on ( x _ 5 , x _ 8 )"
Aubrey smirked .,"smirk . agent ( x _ 1 , Aubrey )"
Liam cooked a servant in the room .,"* room ( x _ 6 ) ; cook . agent ( x _ 1 , Liam ) AND cook . theme ( x _ 1 , x _ 3 ) AND servant ( x _ 3 ) AND servant . nmod . in ( x _ 3 , x _ 6 )"
The girl gave Noah the pen beside a poster .,"* girl ( x _ 1 ) ; * pen ( x _ 5 ) ; give . agent ( x _ 2 , x _ 1 ) AND give . recipient ( x _ 2 , Noah ) AND give . theme ( x _ 2 , x _ 5 ) AND pen . nmod . beside ( x _ 5 , x _ 8 ) AND poster ( x _ 8 )"
A teacher shortened a dog on the table in a room .,"* table ( x _ 7 ) ; teacher ( x _ 1 ) AND shorten . agent ( x _ 2 , x _ 1 ) AND shorten . theme ( x _ 2 , x _ 4 ) AND dog ( x _ 4 ) AND dog . nmod . on ( x _ 4 , x _ 7 ) AND table . nmod . in ( x _ 7 , x _ 10 ) AND room ( x _ 10 )"
Emma sold the book to a boy .,"* book ( x _ 3 ) ; sell . agent ( x _ 1 , Emma ) AND sell . theme ( x _ 1 , x _ 3 ) AND sell . recipient ( x _ 1 , x _ 6 ) AND boy ( x _ 6 )"
Leah tolerated the sandwich in the house .,"* sandwich ( x _ 3 ) ; * house ( x _ 6 ) ; tolerate . agent ( x _ 1 , Leah ) AND tolerate . theme ( x _ 1 , x _ 3 ) AND sandwich . nmod . in ( x _ 3 , x _ 6 )"
Michael hoped that Liam missed the frog .,"* frog ( x _ 6 ) ; hope . agent ( x _ 1 , Michael ) AND hope . ccomp ( x _ 1 , x _ 4 ) AND miss . agent ( x _ 4 , Liam ) AND miss . theme ( x _ 4 , x _ 6 )"
A girl painted Liam .,"girl ( x _ 1 ) AND paint . agent ( x _ 2 , x _ 1 ) AND paint . theme ( x _ 2 , Liam )"
A donut was eaten by Noah .,"donut ( x _ 1 ) AND eat . theme ( x _ 3 , x _ 1 ) AND eat . agent ( x _ 3 , Noah )"
The girl liked that Ella said that Emma ate the cake .,"* girl ( x _ 1 ) ; * cake ( x _ 10 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND say . agent ( x _ 5 , Ella ) AND say . ccomp ( x _ 5 , x _ 8 ) AND eat . agent ( x _ 8 , Emma ) AND eat . theme ( x _ 8 , x _ 10 )"
A cat wanted to giggle .,"cat ( x _ 1 ) AND want . agent ( x _ 2 , x _ 1 ) AND want . xcomp ( x _ 2 , x _ 4 ) AND giggle . agent ( x _ 4 , x _ 1 )"
The box was studied by a girl .,"* box ( x _ 1 ) ; study . theme ( x _ 3 , x _ 1 ) AND study . agent ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
The donut was offered to Penelope .,"* donut ( x _ 1 ) ; offer . theme ( x _ 3 , x _ 1 ) AND offer . recipient ( x _ 3 , Penelope )"
Emma was passed the cake in the car by Olivia .,"* cake ( x _ 4 ) ; * car ( x _ 7 ) ; pass . recipient ( x _ 2 , Emma ) AND pass . theme ( x _ 2 , x _ 4 ) AND pass . agent ( x _ 2 , Olivia ) AND cake . nmod . in ( x _ 4 , x _ 7 )"
The guitar was doubled .,"* guitar ( x _ 1 ) ; double . theme ( x _ 3 , x _ 1 )"
A sailor froze the journalist beside a seat .,"* journalist ( x _ 4 ) ; sailor ( x _ 1 ) AND freeze . agent ( x _ 2 , x _ 1 ) AND freeze . theme ( x _ 2 , x _ 4 ) AND journalist . nmod . beside ( x _ 4 , x _ 7 ) AND seat ( x _ 7 )"
A donut was loved by Alexander .,"donut ( x _ 1 ) AND love . theme ( x _ 3 , x _ 1 ) AND love . agent ( x _ 3 , Alexander )"
Emma hoped that Isaac laughed .,"hope . agent ( x _ 1 , Emma ) AND hope . ccomp ( x _ 1 , x _ 4 ) AND laugh . agent ( x _ 4 , Isaac )"
The mouse loaned the turkey the chalk .,"* mouse ( x _ 1 ) ; * turkey ( x _ 4 ) ; * chalk ( x _ 6 ) ; loan . agent ( x _ 2 , x _ 1 ) AND loan . recipient ( x _ 2 , x _ 4 ) AND loan . theme ( x _ 2 , x _ 6 )"
The professor was offered the pen beside the bear by Benjamin .,"* professor ( x _ 1 ) ; * pen ( x _ 5 ) ; * bear ( x _ 8 ) ; offer . recipient ( x _ 3 , x _ 1 ) AND offer . theme ( x _ 3 , x _ 5 ) AND offer . agent ( x _ 3 , Benjamin ) AND pen . nmod . beside ( x _ 5 , x _ 8 )"
A scientist poked the girl in the house .,"* girl ( x _ 4 ) ; * house ( x _ 7 ) ; scientist ( x _ 1 ) AND poke . agent ( x _ 2 , x _ 1 ) AND poke . theme ( x _ 2 , x _ 4 ) AND girl . nmod . in ( x _ 4 , x _ 7 )"
The girl floated a block .,"* girl ( x _ 1 ) ; float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , x _ 4 ) AND block ( x _ 4 )"
The fruit was painted .,"* fruit ( x _ 1 ) ; paint . theme ( x _ 3 , x _ 1 )"
The chemical was frozen .,"* chemical ( x _ 1 ) ; freeze . theme ( x _ 3 , x _ 1 )"
Emma was awarded the rose .,"* rose ( x _ 4 ) ; award . recipient ( x _ 2 , Emma ) AND award . theme ( x _ 2 , x _ 4 )"
A melon was collapsed by Noah .,"melon ( x _ 1 ) AND collapse . theme ( x _ 3 , x _ 1 ) AND collapse . agent ( x _ 3 , Noah )"
James nursed .,"nurse . agent ( x _ 1 , James )"
A fruit was offered to a boy by Isabella .,"fruit ( x _ 1 ) AND offer . theme ( x _ 3 , x _ 1 ) AND offer . recipient ( x _ 3 , x _ 6 ) AND offer . agent ( x _ 3 , Isabella ) AND boy ( x _ 6 )"
A girl was given a chair on the yacht by Ava .,"* yacht ( x _ 8 ) ; girl ( x _ 1 ) AND give . recipient ( x _ 3 , x _ 1 ) AND give . theme ( x _ 3 , x _ 5 ) AND give . agent ( x _ 3 , Ava ) AND chair ( x _ 5 ) AND chair . nmod . on ( x _ 5 , x _ 8 )"
The boy liked that Liam liked a sandwich on a road .,"* boy ( x _ 1 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND like . agent ( x _ 5 , Liam ) AND like . theme ( x _ 5 , x _ 7 ) AND sandwich ( x _ 7 ) AND sandwich . nmod . on ( x _ 7 , x _ 10 ) AND road ( x _ 10 )"
The pickle was loved by Emma .,"* pickle ( x _ 1 ) ; love . theme ( x _ 3 , x _ 1 ) AND love . agent ( x _ 3 , Emma )"
A cake was forwarded to Olivia .,"cake ( x _ 1 ) AND forward . theme ( x _ 3 , x _ 1 ) AND forward . recipient ( x _ 3 , Olivia )"
A chalk was eaten by the girl .,"* girl ( x _ 6 ) ; chalk ( x _ 1 ) AND eat . theme ( x _ 3 , x _ 1 ) AND eat . agent ( x _ 3 , x _ 6 )"
The ball froze .,"* ball ( x _ 1 ) ; freeze . theme ( x _ 2 , x _ 1 )"
The sandwich was pierced by Eleanor .,"* sandwich ( x _ 1 ) ; pierce . theme ( x _ 3 , x _ 1 ) AND pierce . agent ( x _ 3 , Eleanor )"
The captain was mailed the box by Riley .,"* captain ( x _ 1 ) ; * box ( x _ 5 ) ; mail . recipient ( x _ 3 , x _ 1 ) AND mail . theme ( x _ 3 , x _ 5 ) AND mail . agent ( x _ 3 , Riley )"
The girl ate a strawberry .,"* girl ( x _ 1 ) ; eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , x _ 4 ) AND strawberry ( x _ 4 )"
The dog lended the girl a box beside a stage .,"* dog ( x _ 1 ) ; * girl ( x _ 4 ) ; lend . agent ( x _ 2 , x _ 1 ) AND lend . recipient ( x _ 2 , x _ 4 ) AND lend . theme ( x _ 2 , x _ 6 ) AND box ( x _ 6 ) AND box . nmod . beside ( x _ 6 , x _ 9 ) AND stage ( x _ 9 )"
A block was split .,"block ( x _ 1 ) AND split . theme ( x _ 3 , x _ 1 )"
The brain was liked .,"* brain ( x _ 1 ) ; like . theme ( x _ 3 , x _ 1 )"
A girl ate Olivia .,"girl ( x _ 1 ) AND eat . agent ( x _ 2 , x _ 1 ) AND eat . theme ( x _ 2 , Olivia )"
A donut was sketched by Noah .,"donut ( x _ 1 ) AND sketch . theme ( x _ 3 , x _ 1 ) AND sketch . agent ( x _ 3 , Noah )"
Sophia drew the cake in a house .,"* cake ( x _ 3 ) ; draw . agent ( x _ 1 , Sophia ) AND draw . theme ( x _ 1 , x _ 3 ) AND cake . nmod . in ( x _ 3 , x _ 6 ) AND house ( x _ 6 )"
A girl liked a flower .,"girl ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND flower ( x _ 4 )"
James decomposed Savannah .,"decompose . agent ( x _ 1 , James ) AND decompose . theme ( x _ 1 , Savannah )"
A bottle was cooked by the boy .,"* boy ( x _ 6 ) ; bottle ( x _ 1 ) AND cook . theme ( x _ 3 , x _ 1 ) AND cook . agent ( x _ 3 , x _ 6 )"
A game was shortened by the girl .,"* girl ( x _ 6 ) ; game ( x _ 1 ) AND shorten . theme ( x _ 3 , x _ 1 ) AND shorten . agent ( x _ 3 , x _ 6 )"
Isabella pierced a hero in a house .,"pierce . agent ( x _ 1 , Isabella ) AND pierce . theme ( x _ 1 , x _ 3 ) AND hero ( x _ 3 ) AND hero . nmod . in ( x _ 3 , x _ 6 ) AND house ( x _ 6 )"
The mirror was rolled by Amelia .,"* mirror ( x _ 1 ) ; roll . theme ( x _ 3 , x _ 1 ) AND roll . agent ( x _ 3 , Amelia )"
A girl cooked Ava .,"girl ( x _ 1 ) AND cook . agent ( x _ 2 , x _ 1 ) AND cook . theme ( x _ 2 , Ava )"
The button was worshipped .,"* button ( x _ 1 ) ; worship . theme ( x _ 3 , x _ 1 )"
Benjamin attempted to paint .,"attempt . agent ( x _ 1 , Benjamin ) AND attempt . xcomp ( x _ 1 , x _ 3 ) AND paint . agent ( x _ 3 , Benjamin )"
The chicken helped a hamburger beside the tent .,"* chicken ( x _ 1 ) ; * tent ( x _ 7 ) ; help . agent ( x _ 2 , x _ 1 ) AND help . theme ( x _ 2 , x _ 4 ) AND hamburger ( x _ 4 ) AND hamburger . nmod . beside ( x _ 4 , x _ 7 )"
Emma lended the girl a cake .,"* girl ( x _ 3 ) ; lend . agent ( x _ 1 , Emma ) AND lend . recipient ( x _ 1 , x _ 3 ) AND lend . theme ( x _ 1 , x _ 5 ) AND cake ( x _ 5 )"
Emma rolled a pretzel .,"roll . agent ( x _ 1 , Emma ) AND roll . theme ( x _ 1 , x _ 3 ) AND pretzel ( x _ 3 )"
A jigsaw was helped .,"jigsaw ( x _ 1 ) AND help . theme ( x _ 3 , x _ 1 )"
The drink was tossed .,"* drink ( x _ 1 ) ; toss . theme ( x _ 3 , x _ 1 )"
The baby missed the cake .,"* baby ( x _ 1 ) ; * cake ( x _ 4 ) ; miss . agent ( x _ 2 , x _ 1 ) AND miss . theme ( x _ 2 , x _ 4 )"
A lollipop was painted .,"lollipop ( x _ 1 ) AND paint . theme ( x _ 3 , x _ 1 )"
Madison changed the cake on a road .,"* cake ( x _ 3 ) ; change . agent ( x _ 1 , Madison ) AND change . theme ( x _ 1 , x _ 3 ) AND cake . nmod . on ( x _ 3 , x _ 6 ) AND road ( x _ 6 )"
The cake was given to the child by Amelia .,"* cake ( x _ 1 ) ; * child ( x _ 6 ) ; give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , x _ 6 ) AND give . agent ( x _ 3 , Amelia )"
A cake enlarged .,"cake ( x _ 1 ) AND enlarge . theme ( x _ 2 , x _ 1 )"
The cat supported that the girl gave the sailor the balloon .,"* cat ( x _ 1 ) ; * girl ( x _ 5 ) ; * sailor ( x _ 8 ) ; * balloon ( x _ 10 ) ; support . agent ( x _ 2 , x _ 1 ) AND support . ccomp ( x _ 2 , x _ 6 ) AND give . agent ( x _ 6 , x _ 5 ) AND give . recipient ( x _ 6 , x _ 8 ) AND give . theme ( x _ 6 , x _ 10 )"
Emma lended the scientist a strawberry .,"* scientist ( x _ 3 ) ; lend . agent ( x _ 1 , Emma ) AND lend . recipient ( x _ 1 , x _ 3 ) AND lend . theme ( x _ 1 , x _ 5 ) AND strawberry ( x _ 5 )"
Camila shortened a donut .,"shorten . agent ( x _ 1 , Camila ) AND shorten . theme ( x _ 1 , x _ 3 ) AND donut ( x _ 3 )"
Isabella was fed a ball by a girl .,"feed . recipient ( x _ 2 , Isabella ) AND feed . theme ( x _ 2 , x _ 4 ) AND feed . agent ( x _ 2 , x _ 7 ) AND ball ( x _ 4 ) AND girl ( x _ 7 )"
The cat lended Emma the cookie in the trailer .,"* cat ( x _ 1 ) ; * cookie ( x _ 5 ) ; * trailer ( x _ 8 ) ; lend . agent ( x _ 2 , x _ 1 ) AND lend . recipient ( x _ 2 , Emma ) AND lend . theme ( x _ 2 , x _ 5 ) AND cookie . nmod . in ( x _ 5 , x _ 8 )"
Emma rolled a cake in a house .,"roll . agent ( x _ 1 , Emma ) AND roll . theme ( x _ 1 , x _ 3 ) AND cake ( x _ 3 ) AND cake . nmod . in ( x _ 3 , x _ 6 ) AND house ( x _ 6 )"
Emma was handed the cake in the house .,"* cake ( x _ 4 ) ; * house ( x _ 7 ) ; hand . recipient ( x _ 2 , Emma ) AND hand . theme ( x _ 2 , x _ 4 ) AND cake . nmod . in ( x _ 4 , x _ 7 )"
The cake was painted by Noah .,"* cake ( x _ 1 ) ; paint . theme ( x _ 3 , x _ 1 ) AND paint . agent ( x _ 3 , Noah )"
Emma noticed that a crayon was reddened .,"notice . agent ( x _ 1 , Emma ) AND notice . ccomp ( x _ 1 , x _ 6 ) AND crayon ( x _ 4 ) AND redden . theme ( x _ 6 , x _ 4 )"
A girl nursed .,"girl ( x _ 1 ) AND nurse . agent ( x _ 2 , x _ 1 )"
A boy liked a cookie .,"boy ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 ) AND cookie ( x _ 4 )"
The bucket was burned by the girl .,"* bucket ( x _ 1 ) ; * girl ( x _ 6 ) ; burn . theme ( x _ 3 , x _ 1 ) AND burn . agent ( x _ 3 , x _ 6 )"
A mandarin was loaned to Emma .,"mandarin ( x _ 1 ) AND loan . theme ( x _ 3 , x _ 1 ) AND loan . recipient ( x _ 3 , Emma )"
Elizabeth respected the cake on a table .,"* cake ( x _ 3 ) ; respect . agent ( x _ 1 , Elizabeth ) AND respect . theme ( x _ 1 , x _ 3 ) AND cake . nmod . on ( x _ 3 , x _ 6 ) AND table ( x _ 6 )"
The cake was collapsed by Noah .,"* cake ( x _ 1 ) ; collapse . theme ( x _ 3 , x _ 1 ) AND collapse . agent ( x _ 3 , Noah )"
The boy was returned a cookie beside a table by Carter .,"* boy ( x _ 1 ) ; return . recipient ( x _ 3 , x _ 1 ) AND return . theme ( x _ 3 , x _ 5 ) AND return . agent ( x _ 3 , Carter ) AND cookie ( x _ 5 ) AND cookie . nmod . beside ( x _ 5 , x _ 8 ) AND table ( x _ 8 )"
The cake was seen by Isabella .,"* cake ( x _ 1 ) ; see . theme ( x _ 3 , x _ 1 ) AND see . agent ( x _ 3 , Isabella )"
A cookie was eaten by a host .,"cookie ( x _ 1 ) AND eat . theme ( x _ 3 , x _ 1 ) AND eat . agent ( x _ 3 , x _ 6 ) AND host ( x _ 6 )"
Benjamin painted Asher .,"paint . agent ( x _ 1 , Benjamin ) AND paint . theme ( x _ 1 , Asher )"
Liam offered a resident the yogurt .,"* yogurt ( x _ 5 ) ; offer . agent ( x _ 1 , Liam ) AND offer . recipient ( x _ 1 , x _ 3 ) AND offer . theme ( x _ 1 , x _ 5 ) AND resident ( x _ 3 )"
A box was given to Olivia .,"box ( x _ 1 ) AND give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , Olivia )"
A resident was posted the chemical by the girl .,"* chemical ( x _ 5 ) ; * girl ( x _ 8 ) ; resident ( x _ 1 ) AND post . recipient ( x _ 3 , x _ 1 ) AND post . theme ( x _ 3 , x _ 5 ) AND post . agent ( x _ 3 , x _ 8 )"
Jaxon saw .,"see . agent ( x _ 1 , Jaxon )"
The girl gave Olivia the cake .,"* girl ( x _ 1 ) ; * cake ( x _ 5 ) ; give . agent ( x _ 2 , x _ 1 ) AND give . recipient ( x _ 2 , Olivia ) AND give . theme ( x _ 2 , x _ 5 )"
A bear slept .,"bear ( x _ 1 ) AND sleep . agent ( x _ 2 , x _ 1 )"
Emma painted the monkey .,"* monkey ( x _ 3 ) ; paint . agent ( x _ 1 , Emma ) AND paint . theme ( x _ 1 , x _ 3 )"
A brush was lended to Mia .,"brush ( x _ 1 ) AND lend . theme ( x _ 3 , x _ 1 ) AND lend . recipient ( x _ 3 , Mia )"
Layla packed .,"pack . agent ( x _ 1 , Layla )"
Isaac hoped that a cake rolled .,"hope . agent ( x _ 1 , Isaac ) AND hope . ccomp ( x _ 1 , x _ 5 ) AND cake ( x _ 4 ) AND roll . theme ( x _ 5 , x _ 4 )"
A girl nursed the cake beside the rod .,"* cake ( x _ 4 ) ; * rod ( x _ 7 ) ; girl ( x _ 1 ) AND nurse . agent ( x _ 2 , x _ 1 ) AND nurse . theme ( x _ 2 , x _ 4 ) AND cake . nmod . beside ( x _ 4 , x _ 7 )"
A chicken liked that Emma slept .,"chicken ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 5 ) AND sleep . agent ( x _ 5 , Emma )"
The baby was fed the block .,"* baby ( x _ 1 ) ; * block ( x _ 5 ) ; feed . recipient ( x _ 3 , x _ 1 ) AND feed . theme ( x _ 3 , x _ 5 )"
Emma decomposed the drink beside the valve .,"* drink ( x _ 3 ) ; * valve ( x _ 6 ) ; decompose . agent ( x _ 1 , Emma ) AND decompose . theme ( x _ 1 , x _ 3 ) AND drink . nmod . beside ( x _ 3 , x _ 6 )"
The sweetcorn was snapped .,"* sweetcorn ( x _ 1 ) ; snap . theme ( x _ 3 , x _ 1 )"
The guitar was collapsed .,"* guitar ( x _ 1 ) ; collapse . theme ( x _ 3 , x _ 1 )"
A toothbrush was cleaned .,"toothbrush ( x _ 1 ) AND clean . theme ( x _ 3 , x _ 1 )"
A crayon was painted by Emma .,"crayon ( x _ 1 ) AND paint . theme ( x _ 3 , x _ 1 ) AND paint . agent ( x _ 3 , Emma )"
A donut was changed by Emma .,"donut ( x _ 1 ) AND change . theme ( x _ 3 , x _ 1 ) AND change . agent ( x _ 3 , Emma )"
Charlotte forwarded a block to the boy .,"* boy ( x _ 6 ) ; forward . agent ( x _ 1 , Charlotte ) AND forward . theme ( x _ 1 , x _ 3 ) AND forward . recipient ( x _ 1 , x _ 6 ) AND block ( x _ 3 )"
James rolled a cat .,"roll . agent ( x _ 1 , James ) AND roll . theme ( x _ 1 , x _ 3 ) AND cat ( x _ 3 )"
A penguin screamed .,"penguin ( x _ 1 ) AND scream . agent ( x _ 2 , x _ 1 )"
The cake was burned by a girl .,"* cake ( x _ 1 ) ; burn . theme ( x _ 3 , x _ 1 ) AND burn . agent ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
A raisin was rolled by Liam .,"raisin ( x _ 1 ) AND roll . theme ( x _ 3 , x _ 1 ) AND roll . agent ( x _ 3 , Liam )"
